               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.023081,              0.0166,            0.026499,                   0,                   0,                   0,                   0,                   0,            0.004429,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.022823,            0.016424,            0.026477,                   0,                   0,                   0,                   0,                   0,           0.0044317,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.022807,            0.016454,            0.026272,                   0,                   0,                   0,                   0,                   0,           0.0044378,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.02293,            0.016678,            0.025899,                   0,                   0,                   0,                   0,                   0,           0.0044443,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.022739,            0.016569,            0.026083,                   0,                   0,                   0,                   0,                   0,           0.0044512,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.022896,            0.016691,            0.026159,                   0,                   0,                   0,                   0,                   0,           0.0044509,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.022839,             0.01658,            0.025872,                   0,                   0,                   0,                   0,                   0,           0.0044496,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.02277,            0.016654,            0.025896,                   0,                   0,                   0,                   0,                   0,           0.0044492,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.022692,            0.016391,            0.025917,                   0,                   0,                   0,                   0,                   0,           0.0044519,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.022654,            0.016434,            0.025957,                   0,                   0,                   0,                   0,                   0,           0.0044547,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.022783,            0.016539,            0.026007,                   0,                   0,                   0,                   0,                   0,           0.0044564,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.022684,             0.01659,            0.025602,                   0,                   0,                   0,                   0,                   0,           0.0044578,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.022569,            0.016479,            0.025714,                   0,                   0,                   0,                   0,                   0,           0.0044615,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.022668,            0.016623,            0.025282,                   0,                   0,                   0,                   0,                   0,           0.0044662,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022556,            0.016476,            0.025401,                   0,                   0,                   0,                   0,                   0,           0.0044707,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022726,            0.016506,            0.025328,                   0,                   0,                   0,                   0,                   0,           0.0044737,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.022631,             0.01648,            0.025365,                   0,                   0,                   0,                   0,                   0,           0.0044779,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022721,            0.016514,            0.025418,                   0,                   0,                   0,                   0,                   0,           0.0044779,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.022572,            0.016362,             0.02518,                   0,                   0,                   0,                   0,                   0,           0.0044768,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022618,            0.016381,            0.024817,                   0,                   0,                   0,                   0,                   0,           0.0044774,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022655,            0.016548,              0.0253,                   0,                   0,                   0,                   0,                   0,           0.0044775,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022522,            0.016421,            0.024755,                   0,                   0,                   0,                   0,                   0,           0.0044788,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.02239,            0.016254,            0.024984,                   0,                   0,                   0,                   0,                   0,           0.0044775,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.022308,            0.016364,             0.02485,                   0,                   0,                   0,                   0,                   0,             0.00448,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.022468,            0.016239,            0.024637,                   0,                   0,                   0,                   0,                   0,           0.0044813,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.022413,            0.016438,            0.024521,                   0,                   0,                   0,                   0,                   0,           0.0044795,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022624,            0.016535,             0.02425,                   0,                   0,                   0,                   0,                   0,           0.0044826,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022527,             0.01633,            0.024766,                   0,                   0,                   0,                   0,                   0,           0.0044846,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.022323,            0.016273,            0.024608,                   0,                   0,                   0,                   0,                   0,           0.0044824,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.022496,            0.016489,            0.024612,                   0,                   0,                   0,                   0,                   0,           0.0044796,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.022349,            0.016494,              0.0247,                   0,                   0,                   0,                   0,                   0,           0.0044756,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022353,            0.016374,            0.024208,                   0,                   0,                   0,                   0,                   0,           0.0044755,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022478,            0.016378,            0.024259,                   0,                   0,                   0,                   0,                   0,           0.0044757,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.022423,            0.016261,            0.024318,                   0,                   0,                   0,                   0,                   0,           0.0044754,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.022429,             0.01646,            0.024084,                   0,                   0,                   0,                   0,                   0,           0.0044787,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.02237,            0.016233,            0.023812,                   0,                   0,                   0,                   0,                   0,            0.004481,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.022339,            0.016372,            0.023788,                   0,                   0,                   0,                   0,                   0,           0.0044814,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.022191,            0.016289,            0.023885,                   0,                   0,                   0,                   0,                   0,           0.0044801,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.022251,            0.016282,            0.023842,                   0,                   0,                   0,                   0,                   0,           0.0044779,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.022223,            0.016332,            0.023789,                   0,                   0,                   0,                   0,                   0,           0.0044803,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.022213,            0.016327,            0.023793,                   0,                   0,                   0,                   0,                   0,           0.0044834,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.022175,             0.01634,            0.023749,                   0,                   0,                   0,                   0,                   0,           0.0044872,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.022276,            0.016253,            0.023681,                   0,                   0,                   0,                   0,                   0,           0.0044886,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.022098,              0.0162,            0.023418,                   0,                   0,                   0,                   0,                   0,           0.0044877,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.022242,            0.016312,            0.023449,                   0,                   0,                   0,                   0,                   0,           0.0044859,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.022127,            0.016356,            0.023424,                   0,                   0,                   0,                   0,                   0,           0.0044873,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.02206,            0.016203,             0.02342,                   0,                   0,                   0,                   0,                   0,           0.0044872,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021932,            0.016245,            0.023462,                   0,                   0,                   0,                   0,                   0,           0.0044851,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.022241,             0.01625,            0.023329,                   0,                   0,                   0,                   0,                   0,           0.0044822,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.022037,            0.016212,            0.023078,                   0,                   0,                   0,                   0,                   0,           0.0044803,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.022123,            0.016178,            0.023185,                   0,                   0,                   0,                   0,                   0,           0.0044781,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.021991,            0.016093,            0.023097,                   0,                   0,                   0,                   0,                   0,           0.0044762,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.022037,            0.016288,            0.022985,                   0,                   0,                   0,                   0,                   0,           0.0044722,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.022194,            0.016306,            0.023275,                   0,                   0,                   0,                   0,                   0,           0.0044699,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.021944,            0.016181,            0.022858,                   0,                   0,                   0,                   0,                   0,           0.0044704,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.021949,            0.016233,            0.022802,                   0,                   0,                   0,                   0,                   0,           0.0044682,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.021858,            0.016089,            0.022992,                   0,                   0,                   0,                   0,                   0,           0.0044672,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.022139,            0.016319,             0.02282,                   0,                   0,                   0,                   0,                   0,           0.0044694,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.022049,            0.016321,            0.023238,                   0,                   0,                   0,                   0,                   0,           0.0044705,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.021938,            0.016189,            0.022729,                   0,                   0,                   0,                   0,                   0,            0.004473,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.021975,            0.016136,            0.022814,                   0,                   0,                   0,                   0,                   0,           0.0044724,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.022051,            0.016146,            0.022684,                   0,                   0,                   0,                   0,                   0,           0.0044687,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.02197,            0.016054,            0.022677,                   0,                   0,                   0,                   0,                   0,           0.0044669,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.02204,            0.016242,            0.022792,                   0,                   0,                   0,                   0,                   0,           0.0044666,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.021761,            0.015926,            0.022324,                   0,                   0,                   0,                   0,                   0,           0.0044707,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.021861,             0.01606,            0.022444,                   0,                   0,                   0,                   0,                   0,           0.0044775,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.021805,            0.016233,             0.02233,                   0,                   0,                   0,                   0,                   0,           0.0044778,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.021681,            0.016159,             0.02251,                   0,                   0,                   0,                   0,                   0,            0.004479,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.021786,              0.0161,            0.022214,                   0,                   0,                   0,                   0,                   0,             0.00448,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.021812,            0.016087,             0.02201,                   0,                   0,                   0,                   0,                   0,           0.0044824,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.021938,            0.016225,             0.02254,                   0,                   0,                   0,                   0,                   0,           0.0044829,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.021816,            0.015979,            0.022081,                   0,                   0,                   0,                   0,                   0,           0.0044844,                   0,            0.005611,            0.005611,            0.005611
